ticket_id,exception_id,dataset_id,dataset_name,rule_id,rule_name,severity,status,owner,open_date,sla_date,sla_breach,root_cause,resolution_date,verification_status,notes
REM-0001,EXC-0001,DS-001,Customer Master,COMP-001,Customer ID Not Null,Critical,Escalated,Data Governance Office,2026-06-12,2026-06-13,true,ETL Failure,,Pending,Ticket raised for Critical Control Failure on Customer Master.
REM-0002,EXC-0002,DS-001,Customer Master,CONS-001,Customer-Account Referential Integrity,Critical,Escalated,Data Governance Office,2026-06-18,2026-06-19,false,ETL Failure,,Pending,Ticket raised for Critical Control Failure on Customer Master.
REM-0003,EXC-0003,DS-002,Transaction Ledger,COMP-002,Transaction Amount Not Null,Critical,Resolved,Data Engineering Team,2026-06-14,2026-06-15,false,Mapping Issue,2026-06-15,Verified,Ticket raised for Critical Control Failure on Transaction Ledger.
REM-0004,EXC-0004,DS-002,Transaction Ledger,ACCU-001,Transaction Amount Positive,Critical,Escalated,Source System Team,2026-06-15,2026-06-16,true,Feed Delay,,Pending,Ticket raised for Critical Control Failure on Transaction Ledger.
REM-0005,EXC-0005,DS-002,Transaction Ledger,CONS-002,Transaction-Account Consistency,Critical,In Progress,Data Engineering Team,2026-06-17,2026-06-18,true,ETL Failure,,Pending,Ticket raised for Critical Control Failure on Transaction Ledger.
REM-0006,EXC-0006,DS-002,Transaction Ledger,CONS-006,GL-Transaction Reconciliation,Critical,In Progress,CRM Team,2026-06-10,2026-06-11,true,Mapping Issue,,Pending,Ticket raised for Critical Control Failure on Transaction Ledger.
REM-0007,EXC-0007,DS-002,Transaction Ledger,TIME-002,Transaction Feed SLA,Critical,In Progress,Finance Operations,2026-06-13,2026-06-14,true,Mapping Issue,,Pending,Ticket raised for Critical Control Failure on Transaction Ledger.
REM-0008,EXC-0008,DS-003,Risk Exposure,TIME-003,Risk Exposure Daily Refresh,Critical,Open,Data Engineering Team,2026-06-19,2026-06-20,false,Feed Delay,,Pending,Ticket raised for Critical Control Failure on Risk Exposure.
REM-0009,EXC-0009,DS-003,Risk Exposure,TIME-007,Risk Report Delivery SLA,Critical,Resolved,Data Engineering Team,2026-06-16,2026-06-17,false,Manual Entry Error,2026-06-17,Verified,Ticket raised for Critical Control Failure on Risk Exposure.
REM-0010,EXC-0010,DS-004,General Ledger,COMP-007,GL Account Code Completeness,Critical,Escalated,Data Engineering Team,2026-06-11,2026-06-12,true,Source System Failure,,Pending,Ticket raised for Critical Control Failure on General Ledger.
REM-0011,EXC-0011,DS-006,Sales Performance,ACCU-001,Transaction Amount Positive,Critical,Resolved,Source System Team,2026-06-09,2026-06-10,false,Manual Entry Error,2026-06-10,Verified,Ticket raised for Critical Control Failure on Sales Performance.
REM-0012,EXC-0012,DS-010,Orders,COMP-002,Transaction Amount Not Null,Critical,Escalated,Data Engineering Team,2026-06-15,2026-06-16,true,Mapping Issue,,Pending,Ticket raised for Critical Control Failure on Orders.
REM-0013,EXC-0013,DS-010,Orders,TIME-002,Transaction Feed SLA,Critical,Resolved,Source System Team,2026-06-11,2026-06-12,false,Source System Failure,2026-06-12,Verified,Ticket raised for Critical Control Failure on Orders.
REM-0014,EXC-0014,DS-011,Resource Allocation,COMP-001,Customer ID Not Null,Critical,Open,Data Governance Office,2026-06-19,2026-06-20,false,Manual Entry Error,,Pending,Ticket raised for Critical Control Failure on Resource Allocation.
REM-0015,EXC-0015,DS-004,General Ledger,ACCU-007,GL Balance Accuracy,Critical,Resolved,Finance Operations,2026-06-12,2026-06-13,false,ETL Failure,2026-06-13,Verified,Ticket raised for Critical Control Failure on General Ledger.
REM-0016,EXC-0016,DS-001,Customer Master,COMP-003,Account Number Completeness,High,In Progress,Data Governance Office,2026-06-14,2026-06-17,true,ETL Failure,,Pending,Ticket raised for Repeated Control Failure on Customer Master.
REM-0017,EXC-0017,DS-001,Customer Master,ACCU-003,Customer Age Valid Range,Medium,Escalated,Data Engineering Team,2026-06-17,2026-06-24,false,ETL Failure,,Pending,Ticket raised for Repeated Control Failure on Customer Master.
REM-0018,EXC-0018,DS-001,Customer Master,ACCU-006,Postcode Format Accuracy,Medium,Assigned,Source System Team,2026-06-16,2026-06-23,false,Source System Failure,,Pending,Ticket raised for Repeated Control Failure on Customer Master.
REM-0019,EXC-0019,DS-001,Customer Master,CONS-007,Customer Status Consistency,Medium,Resolved,Data Engineering Team,2026-06-10,2026-06-17,false,Manual Entry Error,2026-06-12,Verified,Ticket raised for Repeated Control Failure on Customer Master.
REM-0020,EXC-0020,DS-001,Customer Master,TIME-001,Customer Master Freshness,High,Escalated,Finance Operations,2026-06-09,2026-06-12,true,Manual Entry Error,,Pending,Ticket raised for Repeated Control Failure on Customer Master.
REM-0021,EXC-0021,DS-002,Transaction Ledger,ACCU-002,Date Range Validity,High,Resolved,Risk Technology,2026-06-11,2026-06-14,false,Source System Failure,2026-06-12,Verified,Ticket raised for Repeated Control Failure on Transaction Ledger.
REM-0022,EXC-0022,DS-003,Risk Exposure,COMP-004,Risk Rating Populated,High,Escalated,CRM Team,2026-06-09,2026-06-12,true,Source System Failure,,Pending,Ticket raised for Repeated Control Failure on Risk Exposure.
REM-0023,EXC-0023,DS-003,Risk Exposure,ACCU-004,Risk Score Valid Range,High,Open,CRM Team,2026-06-19,2026-06-22,false,Source System Failure,,Pending,Ticket raised for Repeated Control Failure on Risk Exposure.
REM-0024,EXC-0024,DS-003,Risk Exposure,CONS-005,Risk Tier Consistency,High,In Progress,Finance Operations,2026-06-13,2026-06-16,true,Source System Failure,,Pending,Ticket raised for Repeated Control Failure on Risk Exposure.
REM-0025,EXC-0025,DS-005,Product Master,COMP-005,Product Code Completeness,High,In Progress,Finance Operations,2026-06-11,2026-06-14,true,ETL Failure,,Pending,Ticket raised for Repeated Control Failure on Product Master.
REM-0026,EXC-0026,DS-005,Product Master,ACCU-008,Product Price Positive,High,Open,Data Governance Office,2026-06-16,2026-06-19,false,Mapping Issue,,Pending,Ticket raised for Repeated Control Failure on Product Master.
REM-0027,EXC-0027,DS-005,Product Master,CONS-004,Product Code Cross-Dataset Consistency,High,Escalated,CRM Team,2026-06-09,2026-06-12,true,Feed Delay,,Pending,Ticket raised for Repeated Control Failure on Product Master.
REM-0028,EXC-0028,DS-006,Sales Performance,COMP-006,Branch Code Populated,Medium,Resolved,CRM Team,2026-06-15,2026-06-22,false,ETL Failure,2026-06-20,Verified,Ticket raised for Repeated Control Failure on Sales Performance.
REM-0029,EXC-0029,DS-006,Sales Performance,TIME-005,Sales Performance Refresh,Medium,Open,Risk Technology,2026-06-13,2026-06-20,false,Feed Delay,,Pending,Ticket raised for Repeated Control Failure on Sales Performance.
REM-0030,EXC-0030,DS-007,Customer Channels,COMP-008,Contact Email Completeness,Medium,In Progress,Data Engineering Team,2026-06-18,2026-06-25,false,Source System Failure,,Pending,Ticket raised for Repeated Control Failure on Customer Channels.
REM-0031,EXC-0031,DS-007,Customer Channels,CONS-007,Customer Status Consistency,Medium,Assigned,Risk Technology,2026-06-12,2026-06-19,false,ETL Failure,,Pending,Ticket raised for Repeated Control Failure on Customer Channels.
REM-0032,EXC-0032,DS-007,Customer Channels,TIME-001,Customer Master Freshness,High,Resolved,Data Governance Office,2026-06-15,2026-06-18,false,Mapping Issue,2026-06-16,Verified,Ticket raised for Repeated Control Failure on Customer Channels.
REM-0033,EXC-0033,DS-008,Branch Performance,COMP-006,Branch Code Populated,Medium,Assigned,Data Engineering Team,2026-06-15,2026-06-22,false,Feed Delay,,Pending,Ticket raised for Repeated Control Failure on Branch Performance.
REM-0034,EXC-0034,DS-009,Inventory,COMP-005,Product Code Completeness,High,Escalated,CRM Team,2026-06-12,2026-06-15,true,Mapping Issue,,Pending,Ticket raised for Repeated Control Failure on Inventory.
REM-0035,EXC-0035,DS-009,Inventory,ACCU-008,Product Price Positive,High,Escalated,Data Engineering Team,2026-06-14,2026-06-17,true,Source System Failure,,Pending,Ticket raised for Repeated Control Failure on Inventory.
REM-0036,EXC-0036,DS-010,Orders,CONS-004,Product Code Cross-Dataset Consistency,High,Escalated,Data Engineering Team,2026-06-09,2026-06-12,true,Feed Delay,,Pending,Ticket raised for Repeated Control Failure on Orders.
REM-0037,EXC-0037,DS-012,Branch Reference,CONS-003,Branch Code Cross-Dataset Consistency,High,In Progress,Source System Team,2026-06-09,2026-06-12,true,Source System Failure,,Pending,Ticket raised for Repeated Control Failure on Branch Reference.
REM-0038,EXC-0038,DS-013,Product Reference,CONS-004,Product Code Cross-Dataset Consistency,High,Escalated,CRM Team,2026-06-11,2026-06-14,true,Source System Failure,,Pending,Ticket raised for Repeated Control Failure on Product Reference.
REM-0039,EXC-0039,DS-001,Customer Master,COMP-001,Customer ID Not Null,Critical,Resolved,Finance Operations,2026-06-15,2026-06-16,false,Manual Entry Error,2026-06-16,Verified,Ticket raised for Regulatory Critical Issue on Customer Master.
REM-0040,EXC-0040,DS-002,Transaction Ledger,COMP-002,Transaction Amount Not Null,Critical,In Progress,Data Engineering Team,2026-06-15,2026-06-16,true,Source System Failure,,Pending,Ticket raised for Regulatory Critical Issue on Transaction Ledger.
REM-0041,EXC-0041,DS-003,Risk Exposure,COMP-004,Risk Rating Populated,Critical,Escalated,Data Governance Office,2026-06-17,2026-06-18,true,Manual Entry Error,,Pending,Ticket raised for Regulatory Critical Issue on Risk Exposure.
REM-0042,EXC-0042,DS-004,General Ledger,COMP-007,GL Account Code Completeness,Critical,In Progress,Finance Operations,2026-06-09,2026-06-10,true,Source System Failure,,Pending,Ticket raised for Regulatory Critical Issue on General Ledger.
