watchlist_id,dataset_id,dataset_name,domain,regulatory_criticality,null_rate_early,null_rate_recent,null_rate_trend,duplicate_rate_early,duplicate_rate_recent,duplicate_rate_trend,control_failure_rate_early,control_failure_rate_recent,control_failure_trend,watchlist_status,risk_trend,watchlist_reason,priority,recommended_action,review_date
WL-0001,DS-001,Customer Master,Customer,High,1.4,1.15,Improving,0.28,0.32,Deteriorating,2.72,2.86,Stable,Monitor,Caution,One metric showing deteriorating trend. Monitor for 5 business days.,Medium,Assign to Data Steward for monitoring. No immediate escalation required.,2026-06-19
WL-0002,DS-002,Transaction Ledger,Transaction,High,0.61,0.98,Deteriorating,0.11,0.09,Improving,10.38,13.26,Deteriorating,Watchlist,Deteriorating,Null rate increased 59.6%; Control failure rate worsening (27.8%),High,Escalate to Data Steward for investigation. Review source system feeds.,2026-06-19
WL-0003,DS-003,Risk Exposure,Risk,High,2.19,1.96,Improving,0.51,0.67,Deteriorating,5.05,5.02,Stable,Monitor,Caution,One metric showing deteriorating trend. Monitor for 5 business days.,Medium,Assign to Data Steward for monitoring. No immediate escalation required.,2026-06-19
WL-0004,DS-004,General Ledger,Finance,High,0.66,0.6,Stable,0.2,0.28,Deteriorating,0.67,0.1,Improving,Monitor,Caution,One metric showing deteriorating trend. Monitor for 5 business days.,Medium,Assign to Data Steward for monitoring. No immediate escalation required.,2026-06-19
WL-0005,DS-005,Product Master,Product,Medium,1.04,1.19,Deteriorating,0.74,0.69,Stable,2.06,2.07,Stable,Monitor,Caution,One metric showing deteriorating trend. Monitor for 5 business days.,Low,Assign to Data Steward for monitoring. No immediate escalation required.,2026-06-19
WL-0006,DS-006,Sales Performance,Sales,Medium,3.25,3.25,Stable,1.26,1.6,Deteriorating,13.27,16.23,Deteriorating,Watchlist,Deteriorating,Duplicate rate increased 26.9%; Control failure rate worsening (22.3%),Medium,Escalate to Data Steward for investigation. Review source system feeds.,2026-06-19
WL-0007,DS-007,Customer Channels,Customer,Medium,1.67,2.17,Deteriorating,0.37,0.35,Stable,6.69,7.24,Stable,Monitor,Caution,One metric showing deteriorating trend. Monitor for 5 business days.,Low,Assign to Data Steward for monitoring. No immediate escalation required.,2026-06-19
WL-0008,DS-008,Branch Performance,Operations,Medium,0.64,0.87,Deteriorating,0.26,0.41,Deteriorating,3.01,2.92,Stable,Watchlist,Deteriorating,Null rate increased 35.9%; Duplicate rate increased 55.1%,Medium,Escalate to Data Steward for investigation. Review source system feeds.,2026-06-19
WL-0009,DS-009,Inventory,Operations,Low,4.13,4.02,Stable,2.06,2.93,Deteriorating,16.3,19.72,Deteriorating,Watchlist,Deteriorating,Duplicate rate increased 42.4%; Control failure rate worsening (21.0%),Medium,Escalate to Data Steward for investigation. Review source system feeds.,2026-06-19
WL-0010,DS-010,Orders,Operations,Low,1.49,1.98,Deteriorating,0.62,0.88,Deteriorating,8.24,8.31,Stable,Watchlist,Deteriorating,Null rate increased 33.0%; Duplicate rate increased 42.1%,Medium,Escalate to Data Steward for investigation. Review source system feeds.,2026-06-19
WL-0011,DS-011,Resource Allocation,HR,Low,0.43,0.8,Deteriorating,0.2,0.28,Deteriorating,3.11,1.64,Improving,Watchlist,Deteriorating,Null rate increased 86.7%; Duplicate rate increased 40.7%,Medium,Escalate to Data Steward for investigation. Review source system feeds.,2026-06-19
WL-0012,DS-012,Branch Reference,Reference,Low,0.25,0.29,Deteriorating,0.01,0.14,Deteriorating,1.32,1.35,Stable,Watchlist,Deteriorating,Null rate increased 16.2%; Duplicate rate increased 1192.9%,Medium,Escalate to Data Steward for investigation. Review source system feeds.,2026-06-19
WL-0013,DS-013,Product Reference,Reference,Low,0.25,0.37,Deteriorating,0.08,0.12,Deteriorating,2.05,2.22,Stable,Watchlist,Deteriorating,Null rate increased 44.4%; Duplicate rate increased 46.5%,Medium,Escalate to Data Steward for investigation. Review source system feeds.,2026-06-19
